id;title;description;author_id;comment_id;positive_voice;negative_voice
1;Na Drini ćuprija;Na Drini ćuprija je roman srpskog književnika i nobelovca Ive Andrića. Roman pripoveda o građenju mosta preko reke Drine u bosanskom gradu Višegradu. Građenje mosta naručio je Mehmed paša Sokolović, čuveni zvaničnik Osmanskog carstva koji je bio rođeni Srbin iz Rudog.;1;1;1;1
2;Zločin i kazna;Radnja je smeštena u Sankt Peterburg sredinom šezdesetih godina 19. veka. Glavni lik, Rodion Romanovič Raskoljnikov, ambiciozni student prava, podstaknut krajnjom bedom i turobnom budućnošću odlučuje da ubije i opljačka Aljonu Ivanovnu, omraženu staricu koja lihvarenjem izrabljuje ljude. Osim što ubistvom planira da reši sopstvene finansijske i porodične probleme, smatra ga i etički opravdanim jer, po njegovom mišljenju, životi običnih ljudi koji mu se nalaze na putu ne vrede ništa spram plemenitih ideala kojima teži.;2;2;3;6
3;Braća Karamazovi;Knjiga Braća Karamazovi je strastveni filozofski roman koji istražuje hrišćansku etiku, slobodu volje, otuđenost, suparništvo, moral. To je duhovna drama o moralnim dilemama u vezi sa verom, o sumnji i modernoj Rusiji. ;2;3;8;5
4;Rat i mir;Radnja romana „Rat i mir“ se dešava u Sankt Peterburgu 1805. godine, baš kada je Napoleonovo osvajanje zapadne Evrope usadilo strah Rusiji. Radnja romana vrti se oko nekoliko ruskih aristokratskih porodica, od kojih su za glavnu radnju najvažnije porodice Bezuhov, Bolkonski i Rostov. Opisani su lični životi članova tih porodica, međusobne veze i njihovo uplitanje u istoriske događaje (kao i uplitanje tih događaja u njihove živote);3;4;5;1
5;Ana Karenjina;Ana Karenjina, pre svega, govori o dve parelene ljubavne priče: strasne, nesrećne i  destruktivne ljubavi između Ane Karenjine i grofa Vronskog i stabilne ljubavi između Ljevina i Kiti. Takođe, obrađuje ne samo brak i porodicu već i ekonomske i društvene odnose u tadašnjoj Rusiji.;3;5;9;2
6;Ujka Vanja;Drama Ujka Vanja daje sliku života u ruskom selu. Život je monoton, a junaci nezadovoljni. U selo dolazi. Serebrjakov, penzionisani profesor sa svojom mladom ženom i menja tok njihovog života.;4;6;5;6
7;Galeb;U 'Galebu' se prepliću dva osnovna izvora konflikta: ljubav i pitanja umetnosti. Junaci drame, živeći sa ustaljenim navikama, u apatičnoj atmosferi kmetovske Rusije, jednako se vrte u krugovima svojih nesrećnih života, zbog neuzvraćene ljubavi i ličnog neuspeha.;4;7;3;8
8;Travnička hronika;U Travničkoj hronici sudarila su se četiri sveta, različita po veri, kulturi, istoriji, običajima. Emisari zapadnih i istočnih svetova našli su se na prostoru Bosne sa namerom da nikada i ne pokušaju da se približe i razumeju. Najbliži saradnici francuskog i austrijskog konzula i vezira i stanovnici tamnog bosanskog vilajeta, Davna, Rota, turski ćehaja, teftedar Baki, kao i travničke kasablije, u neprestanim su međusobnim sukobima i stalno iskazuju mračne ljudske nagone;1;8;5;6
9;Tvrđava;Tema ovog romana je život Ahmeta Šabe koji se posle rata, odnosno posle bitke kod Hoćina u kojoj Evropljani pobijeđuju Osmanlijsko carstvo, vraća u Sarajevo iz Rusije. Radnja romana se dešava u 17. vijeku. Glavni junak upravo pokušava izađe iz svoje „tvrđave” i vjeruje da može da se pronađe zajednički jezik sa drugim ljudima, bez obzira na njihove različitosti.;5;9;7;7
10;Tišine;Radnja je smeštena u periodu Drugog svetskog rata i pisan je u prvom licu. Govori o posledicama koje je rat ostavio na ljude, na njihove živote i uopšteno na njihovo razmišljanje. U ovoj psihološkoj drami jasno se uočava povezanost glavnog lika (čije ime pisac ne navodi u delu) i samog pisca, što u stvari i jeste u stilu pisanja Meše Selimovića.;5;10;1;6
