id;comment_text;positive_voice;negative_voice;book_id;user_id
1;Poenta cijele knjige je upravo prolaznost, kako se sve mijenjalo i prolazilo a most je taj koji je sve to gledao. ;8;1;1;2
2;A kakvo mišljenje imate o Razumihinu? Pored Sonje on mi je najbolji lik u tom delu.;9;2;2;1
3;Braća Karamazovi mi je najdraži roman od Dostojevskoga i, svakako, među mojih top 5 najdražih romana. Čitala sam ga dosada 3 puta, a u slijedećih 5 godina ću ga sigurno pročitati još barem 2 puta. Od likova mi je najdraži Dmitrij, najstariji sin, "divlja zvijer sa dušom". Super mi je opisano njegovo upoznavanje sa Katarinom;5;4;3;2
4;Upravo sam uzeo ovu knjigu iz biblioteke. A prije nego što pročitam ovako veliku knjigu, interesujeme šta mislite o njoj. Anu Karenjinu sam čitao i knjiga mi se jako svidjela. Kakva je usporedba sa Karenjinom. Dali su slične. Trebam li očekivati sličnu tematiku ili je Rat i mir nešto sasvim drugačije.;3;4;4;2
5;Ja ne znam sta da mislim za Anu. Sviđa mi se hrabrost koju je pokazala da se odupre društvu i njegovim načelima, ali mi se ne sviđa sto nije ostala hrabra i istrajna do kraja. Delovala mi je kao istrajna, jaka i odlučna žena. ;2;5;5;1
6;Serebrjakov je sujetan, misli da je najbolji i najbitniji na celom svetu i voli da mu drugi ugađaju i lete oko njega. ;1;3;6;2
7;Čehov je brižljiv posmatrač ljudskog ponašanja, prepoznaje osnovna ljudska htenja, želje i potrebe.;8;3;7;1
8;U Travnickoj hronici, Andric se otvara i izbacuje svoju zakopcanu unutrasnjost, odmah na papir. Primeti se, u recima je lisen lepote svog stila ciji vrhunac dostize u Prokletoj avliji. ;3;1;8;1
9;Knjiga je flozoska. Od početka , njegovog razmišljanja o ratu i negativnimposljedicama, poslije odlaska na em!ašu gledanja u vodu..;9;7;9;2
10;Počinjem ovu priču, nizašto, bez koristi za sebe i za druge, iz potrebe koja je jača od koristi i razuma, da ostane zapis moj o meni, zapisana muka razgovora sa sobom, s dalekom nadom da će se naći neko rješenje kad bude račun sveden...;3;9;10;1
